Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Sesame,528,NCRIBEN-02M,TYPE-4 (NO.1),NGSI-01-3,INDIA,"IAR, Samaru, Zaria, NCRI, Badeggi",,"I.O. Leleji, A.A. Zaria, D.K. Adedzwa, S.O. Olafare & G.A. Iwo",Delay shattering and medium maturity. (550- 600kg/ha),Savanna Ecology,2001,2001,60
Sesame,529,NCRIBEN-04E,Ex-Sudan,NGSI-14-4,Not Known,"NCRI, Badeggi",,"Ismaila Abubakar, Aliyu Usman, Shokalu Olumide & Mumeen A. Yusuf","High grain yield, high oil content and early maturity. (1.3t/ha)",Savanna Ecology,2014,2014,60
Sesame,530,NCRIBEN-05E,Kenena 4,NGSI-14-5,Not Known,"NCRI, Badeggi",,"Ismaila Abubakar, Aliyu Usman, Shokalu Olumide & Mumeen A. Yusuf","High yield, high oil content and early maturity. (1.2t/ha)",Savanna Ecology,2014,2014,60
Sesame,531,NCRIBEN-06E,04E-550-G3-3,NGSI-25-6,"NCRI, Badeggi","FUT, Minna",,"M. Liman, Ismaila Abubakar, O.A. Falusi, A. Kabir, M.A. Audu, A.A. Gado, Usman Aliyu, Mohammed K. Musa, H. Shehu, S. Salihu & I. Yusuf.",High yield and high oil content 56% (2.0t/ha),Savannah ecologies,2025,2025,61
Sesame,532,NCRIBEN-07E,04E-550-G1-3,NGSI-25-7,"NCRI, Badeggi","FUT, Minna",,"M. Liman, Ismaila Abubakar, O.A. Falusi, A. Kabir, M.A. Audu, A.A. Gado, Usman Aliyu, Mohammed K. Musa, H. Shehu, S. Salihu & I. Yusuf.",High yield (2.3t/ha),Savannah ecologies,2025,2025,61
Sorghum,533,SAMSORG-1,KSV-1 (G-52),NGSB-91-1,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York","Resistant to major leaf disease e.g. leaf blight, sooty stripe, zonate leaf etc. (1.5-2.5t/ha)",Sudan and Sahel Savanna Zones,1970,1991,61
Sorghum,534,SAMSORG-10,KSV-2(YG5760),NGSB-91-2,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York",Early maturing. (1.8- 3t/ha),Southern and Sudan Savanna Zones,1970,1991,61
Sorghum,535,SAMSORG-15,SSV-1(SSF 60),NGSB-91-3,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York",High yielding. (1.8-3t/ha),Southern Guinea Savanna,1970,1991,61
Sorghum,536,SAMSORG-16,SSV-2(FFBL),NGSB-91-4,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York",High yielding. (1.8-3t/ha),Northern Guinea Savanna,1970,1991,61
Sorghum,537,SAMSORG-17,SSV-3(SK-5912),NGSB-91-5,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York",Good for brewing high yielding. (1.8-3t/ha),Northern and Southern Guinea Savanna,1970,1991,61
Sorghum,538,SAMSORG-18,SSV-4(L-2123),NGSB-91-6,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York",High yielding. (1.8-3t/ha),Northern Guinea Savanna,1970,1991,61
Sorghum,539,SAMSORG-19,SSV-5(L-2141),NGSB-91-7,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,"J. Webstar, S.B. King & G.T. York","High yielding, high quality pearly grain. (1.8-3t/ha)",Northern Guinea Sudan,1970,1991,61
Sorghum,540,SAMSORG-2,KSV-3(HP-3),NGSB-91-8,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,El Rouby,Early maturing. (1.5- 3t/ha),Sudan and Sahel Savanna Zones,1977,1991,61
Sorghum,541,SAMSORG-3,KSV-4(B-ES),NGSB-91-9,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,El Rouby,"Early maturing, tolerant to striga and good palability. (1.8-2t/ha)",Sudan and Sahel Savanna Zones,1977,1991,61
Sorghum,542,SAMSORG-4,KSV-9(HP-8),NGSB-91-10,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,El Rouby,"Early maturing, resistant to major diseases. (1.5- 2t/ha",Sudan and Sahel Savanna Zones,1977,1991,61
Sorghum,543,SAMSORG-11,KSV-5(KBL),NGSB-91-11,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,El Rouby,Early maturing,Northern Guinea Savanna,1977,1991,61
Sorghum,544,SAMSORG-12,KSV-6(RZI),NGSB-91-12,"I.A.R, Samaru Zaria",I.A.R. Samaru Zaria,,El Rouby,Tolerant to striga. (1.8- 3t/ha),Northern Guinea Savanna and Southern Sudan Savanna,1977,1991,62
