Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
GR 19,GH/Os/003/15,IRRI,"R. C. Dekuku; CRI/(NAES, CSIR-SARI)",CSIR- Savanna Agricultural Research Institute,"Matures in 125 days. Long and slender grain, non-aromatic, intermediate amylose content.",Yield potential of 5.5 MT/ha. Milling rate 62%. Good cooking quality. High consumer acceptability and good resistance to common pests and diseases,Lowland,Introduction from IRRI with a pedigree name of C-168,1986,2015,COTTON,Gossypium hirsutum 81,29
GR 21,GH/Os/005/15,IRRI,"R. C. Dekuku; NAES, CSIR- SARI",CSIR- Savanna Agricultural Research Institute,"Matures in 125 days. Short and bold grain, non-aromatic, relatively high amylose content.","Yield potential of 4.5MT/ha. Milling rate 64%. Acceptable cooking quality especially for Waakye, Jollof and Omutuo. Good resistance to common pests and diseases",Lowland,Pure line Introduction from IRRI with a pedigree name of Tox 516-19,1986,2015,COTTON,Gossypium hirsutum 81,29
Digang,GH/Os/007/15,IRRI,W. Dogbe; CSIR-SARI,CSIR- Savanna Agricultural Research Institute,"Matures in 115 days. Long and slender grain, non-aromatic. Amylose content- 23-25%; Alkaline spreading value- 6","Yield potential of 4.8 MT/ha. Very plastic (Can be grown across ecologies), adapted to low input systems. Milling rate is 65%. Acceptable cooking quality especially for Waakye, Jollof and Omutuo. Tolerant RYMV and blast",Hydromophic & lowland,"Pure line Introduced from IRRI, Philippines with a pedigree name of IR 12979- 24-1-1",2003,2015,COTTON,Gossypium hirsutum 81,29
Nabogo Rice,GH/Os/009/15,IRRI,"W. Dogbe, I.D.K Atokple; CSIR-SARI",CSIR- Savanna Agricultural Research Institute,"Matures in 120-130 days. Long and slender grain, non-aromatic intermediate amylose content.",Yield potential of 6-7 MT/ha. Milling rate is 60%. Very good cooking quality. High consumer acceptability and good resistance to common pests and diseases,Lowland & irrigated,Pure line Introduced from WRADA/AfricaRice Nigeria with a pedigree name Tox 3233-31-6-2-3-1,2009,2015,COTTON,Gossypium hirsutum 81,29
Ghana Variety Release Catalogue,29,,,,,,,,,,COTTON,Gossypium hirsutum 81,29
NERICA 2,GH/Os/012/15,AfricaRice,"W. Dogbe, I.D.K Atokple, CSIR-SARI; P.K.A. Dartey CSIR-CRI",CSIR- Savanna Agricultural Research Institute,"Matures in 95-100 days. Drought tolerant, long and slender grain size, non- aromatic","Yield potential of 3-4 MT/ha, high amylose, average consumer acceptability",Upland,"Pure line Introduced from WARDA/ AfricaRice, Cote d’Ivoire with a name NERICA 2",2009,2015,COTTON,Gossypium hirsutum 81,30
Otoo mmo,GH/Os/014/15,AfricaRice,"P. K. A. Dartey, R. Bam, M. D. Asante, G. Acheampong, E. Annan Afful - CSIR-CRI",CSIR-Crops Researc Institute,Days to 50% flowering: 80 – 85; Maturity (days): 115 – 120; Grain shape: Long And Slender; Caryopsis color: White,"Potential yield: 5.6 t/ha; Resistant to blast: tolerant; Resistant to lodging: good; Cooking quality: Good; Amylose content:16.5%; Alkaline spreading value: 3.3, Resistance toblast: Resistant; Resistance to lodging: Good; White rice %(Milling yield): 66; Cooking quality: Good; Aroma: Absent",Upland,TOXX 3377,2009,2015,COTTON,Gossypium hirsutum 81,30
Wakatsuki,GH/Os/016/15,AfricaRice,"R. Bam, M. D. Asante, G. Acheampong, E. Annan Afful, P. K. A. Dartey - CSIR-CRI",CSIR-Crops Research Institute,Days to 50% flowering: 93-98; Maturity (days): 125 – 130; Resistance to blast: Tolerant; Resistance to lodging: Good; Grain shape: Long And Slender; Caryopsis color: White,Potential yield: 8.0 t/ha; Resistant to blast: tolerant; Resistant to lodging: good; Cooking quality: Good; Culm strength: intermediate; Amylose content: 23.9%; Alkaline spreading value: 7.0; White rice % (Milling yield):66; Cooking quality: Good; Aroma: Absent,Lowland,Bouake 189,2010,2015,COTTON,Gossypium hirsutum 81,30
AGRA Rice,GH/Os/019/15,IRRI,P.K.A Dartey; CSIR-CRI,CSIR-Crops Research Institute,Day to 50% flowering: 90-98 days; Day to maturity: 125-130 days; 1000 grain weight: 28.3 g; Grain shape: Long And Slender,Yield potetial: 8 t/ha; Resistant to blast: tolerant to iron toxicity: moderate; White rice % (Milling yield): 70.4; Cooking quality: Good; Amylose content: 16-18%; Alkaline spreading value: 7; Aroma: Stong aroma,"Forest, Guinea savannah, Coastal savannah",IR841(IR262 X Khao Dawk Mali 105),2013,2015,COTTON,Gossypium hirsutum 81,31
CRI-Kantinka,GH/Os/002/19,AfricaRice,"M. D. Asante, CSIR-CRI",CSIR-Crops Research Institute,Anthocyanin coloration of auricles on leaf: Present; Anthocyanin coloration of apex on Lemma (early observation): Very weak; Time of heading (50% of plants with heads): Medium; Non-prostrate varieties only: Stem length (excluding panicle): Short; Distribution of awns: Panicle on tip only; Panicle branching: Semi- erect; 1000 Grain weight: 27.2 g,Potential yield: 8.5 t/ha; Milling yield: 68.8 %; Grain Length: Long; Days to physiological maturity: 125; Plant Height: 120 cm; Seed Length: 9.68mm; Seed Width: 2.62mm; Amylose content: 19.8%; Non-aromatic,"Lowland, Irrigated",TOG 5681 / 4*IR 64,2019,2019,COTTON,Gossypium hirsutum 81,31
Ghana Variety Release Catalogue,31,,,,,,,,,,COTTON,Gossypium hirsutum 81,31
CRI-Mpuntuo,GH/Os/005/19,"CSIR-CRI, Ghana","M. D. Asante, K. Dartey, CSIR-CRI",CSIR-Crops Research Institute,Anthocyanin coloration of auricles on leaf: Absent; Anthocyanin coloration of apex on Lemma (early observation): Very weak; Time of heading (50% of plants with heads): Early; Stem length (excluding panicle): Short; Distribution of awns on panicle: None; Panicle branching: Semi- erect; 1000 Grain weight: 29.4 g,Potential yield: 8 t/ha; Milling Yield: 68.8%; Grain Length: Long; Days to physiological maturity: 120; Seed Length: 9.72 mm; Seed Width: 2.56 mm; Plant Height: 120 cm; Amylose content: 23.7 %; Slightly aromatic; Good cooking and processing qualities (baby foods),"Lowland, Irrigated",IR841/IWA10,2019,2019,COTTON,Gossypium hirsutum 81,32
Legon Rice 1,GH/Os/007/19,China,"J. Ofori, University of Ghana",University of Ghana,Spikelet (color of Stigma): white; Flag leaf attitude (early observation): erect; Flag leaf attitude (late observation): horizontal; Leaf anthocyanin coloration of auricles: absent; Stem length excluding panicle: short; Lemma (anthocyanin coloration of apex): medium; Panicle (attitude in relation to stem): semi-upright; Panicle attitude of branches: semi-erect;Decorticated grain color: white; Decorticatedgrain shape: spindle shaped,"Tolerant to Rice Yellow Mottle Virus disease; Resistant to blast disease; Excellent cooking quality, aromatic; Potential yield is 9t/ ha; Amylose content: 18.3%","Lowland & irrigated (Rain forest, Semi - deciduous Forest, Forest- transition, Coastal Savannah and Savannah)",TV1 (Ex – Baika),2019,2019,COTTON,Gossypium hirsutum 81,32
Ghana Variety Release Catalogue,33,,,,,,,,,,COTTON,Gossypium hirsutum 81,33
Kadaga,GH/Sb/002/15,Landrace/ Ghana,CSIR-SARI,CSIR-Savanna Agricultural Research Institute,Improved local variety with of the Guinean race; Plant colour: Pigmented; Maturity: 100 – 110 days; Photo-period insensitive; Panicle shape: Loose and drooping; Seed colour: brown with black glumes.,Potential yield: 2.5MT/ha; Suitable for brewing pito and lager beer; Susceptible to shoot fly; Resistance to most leaf diseases.,Sudan–north Guinean,Pure line,1971,2015,COTTON,Gossypium hirsutum 81,34
Kapaala,GH/Sb/004/15,Landrace/ Ghana,CSIR-SARI/ ICRISAT,CSIR-Savanna Agricultural Research Institute,Improved variety of the Caudatum race; Maturity: 100-110 days; Photo-period insensitive; Plant colour: Tan; panicle shape: Semi-compact and erect; Seed colour: white with colourless glumes.,"Potential yield:4.0 MT/ha; Very good food, malting and brewing qualities; Susceptible to head bug grain mould complex particularly if maturity coincides with heavy rainfall.",Sudan–north Guinean savannahs,"Pure line, developed from a three way cross and originally coded as (ICSV 111).",1996,2015,COTTON,Gossypium hirsutum 81,34
Ghana Variety Release Catalogue,35,,,,,,,,,,COTTON,Gossypium hirsutum 81,35
COMMON BEAN,,,,,,,,,,,COTTON,Gossypium hirsutum 81,36
SPECIES: Phaseolus vulgaris,,,,,,,,,,,COTTON,Gossypium hirsutum 81,36
Crops- Ad4y1,GH/Pv/001/19,CIAT- Uganda,"J. Y. Asibuo, CSIR-CRI",CSIR-Crops Research Institute,Seed coat colour: white; Seed shape: Oval; Seed coat patterns: Absent; Helium Colour: Absent; Colour of standard flower: White; Flower bud per inflorescence: 4; Hypocotyl pigmentation: Green; Colour of emerging hypocotyl: Very pale green; Leaf Persistence: Intermediate; Pod Colour: Normal green; Pod Curvature: Slightly curved; Pod Suture String: Few strings,Canning quality: good; Early maturing (60-65 days after sowing); Grain yield- 1.3 ton/ha.,Transition and Forest,(ICA BUNSI x SXB 405),2016,2019,COTTON,Gossypium hirsutum 81,37
Crops- S1manhyia,GH/Pv/003/19,CIAT- Uganda,"J. Y. Asibuo, CSIR-CRI",CSIR-Crops Research Institute,Seed coat colour: Brown; Seed shape: Cuboid; Seed coat patterns: Absent ; Helium Colour: White with yellow circle; Colour of standard flower: White; Flower bud per inflorescence:3; Hypocotyl pigmentation: Green; Hypocotyl: Very pale green; Leaf Persistence: Intermediate; Pod Colour: Normal green; Pod Curvature: Curved; Pod Suture String: Stringless,Early maturing (60-65 days after sowing); High iron and zinc content (Iron :77 ppm and Zinc 37 ppm); Grain yield:1.9 ton/ha.,Transition and Forest,,2016,2019,COTTON,Gossypium hirsutum 81,37
Ghana Variety Release Catalogue,37,,,,,,,,,,COTTON,Gossypium hirsutum 81,37
COWPEA,,,,,,,,,,,COTTON,Gossypium hirsutum 81,38
SPECIES: Vigna unguiculata L Walp.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,38
Vallenga,GH/Vu/001/15,Landrace/ Ghana,K. O. Marfo et al; CSIR-SARI,CSIR-Savanna Agricultural Research Institute,Growth habit: Erect; Growth pattern: semi-determinate and vinery; Flower colour: White with purple petals; Position of pods- above canopy; Pods per peduncle: two (2); Seed coat colour: red; Colour of helium : black.,High grain/fodder yields. Dual purpose.Early maturing (60 days after sowing),"Sahel, Sudan, derived, Guinea savannah zones",Pure line,1985,2015,COTTON,Gossypium hirsutum 81,39
